test.fasta	1	1	0	1302	1302	1302	0.002795
test.fasta	1	2	12201	14102	1901	3203	0.006876
test.fasta	1	3	1302	12201	10899	14102	0.030273
test.fasta	1	4	15201	16002	801	14903	0.031992
test.fasta	1	5	16401	17901	1500	16403	0.035212
test.fasta	1	6	16002	16401	399	16802	0.036069
test.fasta	1	7	17901	19701	1800	18602	0.039933
test.fasta	1	8	19701	23500	3799	22401	0.048088
test.fasta	1	9	23500	49801	26301	48702	0.104549
test.fasta	1	10	53225	70525	17300	66002	0.141687
test.fasta	1	11	73224	79724	6500	72502	0.155640
test.fasta	1	12	50702	53225	2523	75025	0.161056
test.fasta	1	13	87623	110923	23300	98325	0.211074
test.fasta	1	14	114622	115421	799	99124	0.212790
test.fasta	1	15	115421	119924	4503	103627	0.222456
test.fasta	1	16	79724	87623	7899	111526	0.239413
test.fasta	1	17	119924	141423	21499	133025	0.285565
test.fasta	1	18	141423	161523	20100	153125	0.328714
test.fasta	1	19	165721	169321	3600	156725	0.336442
test.fasta	1	20	169321	173720	4399	161124	0.345885
test.fasta	1	21	174021	177320	3299	164423	0.352967
test.fasta	1	22	177820	181247	3427	167850	0.360324
test.fasta	1	23	181247	192046	10799	178649	0.383506
test.fasta	1	24	192046	195947	3901	182550	0.391880
test.fasta	1	25	197346	203546	6200	188750	0.405190
test.fasta	1	26	203546	209045	5499	194249	0.416995
test.fasta	1	32	210642	225444	14802	209051	0.448770
test.fasta	1	33	228944	251243	22299	231350	0.496639
test.fasta	1	34	258242	260143	1901	233251	0.500720
test.fasta	1	36	260143	267442	7299	240550	0.516389
test.fasta	1	37	268743	273842	5099	245649	0.527335
test.fasta	1	38	274841	284442	9601	255250	0.547945
test.fasta	1	39	195947	197346	1399	256649	0.550949
test.fasta	1	40	291342	297245	5903	262552	0.563621
test.fasta	1	42	298844	305748	6904	269456	0.578442
test.fasta	1	43	305748	309347	3599	273055	0.586168
test.fasta	1	44	311946	312745	799	273854	0.587883
test.fasta	1	45	314345	323648	9303	283157	0.607853
test.fasta	1	46	323648	343748	20100	303257	0.651002
test.fasta	1	47	343748	346347	2599	305856	0.656581
test.fasta	1	48	349446	351045	1599	307455	0.660014
test.fasta	1	49	351045	353047	2002	309457	0.664312
test.fasta	1	50	353047	373846	20799	330256	0.708961
test.fasta	1	56	376146	444950	68804	399060	0.856663
test.fasta	1	57	456150	458049	1899	400959	0.860739
test.fasta	1	58	464848	465830	982	401941	0.862847
test.fasta	2	1	14102	15201	1099	1099	0.002359
test.fasta	3	1	49801	50702	901	901	0.001934
test.fasta	3	2	173720	174021	301	1202	0.002580
test.fasta	3	3	161523	165422	3899	5101	0.010950
test.fasta	3	4	177320	177820	500	5601	0.012024
test.fasta	3	5	110923	114622	3699	9300	0.019964
test.fasta	3	6	227344	228944	1600	10900	0.023399
test.fasta	3	7	257343	258242	899	11799	0.025329
test.fasta	3	8	225444	227344	1900	13699	0.029408
test.fasta	3	9	284442	288342	3900	17599	0.037780
test.fasta	3	10	288342	291342	3000	20599	0.044220
test.fasta	3	11	309347	311946	2599	23198	0.049799
test.fasta	3	12	312745	314345	1600	24798	0.053234
test.fasta	3	13	346347	349446	3099	27897	0.059887
test.fasta	3	14	375547	376146	599	28496	0.061172
test.fasta	3	15	444950	446350	1400	29896	0.064178
test.fasta	3	16	446350	447450	1100	30996	0.066539
test.fasta	3	17	447450	456150	8700	39696	0.085215
test.fasta	4	1	70525	73224	2699	2699	0.005794
test.fasta	4	2	209943	210642	699	3398	0.007294
test.fasta	4	3	209344	209943	599	3997	0.008580
test.fasta	4	4	251243	257343	6100	10097	0.021675
test.fasta	4	5	373846	375547	1701	11798	0.025327
test.fasta	5	1	165422	165721	299	299	0.000642
test.fasta	6	1	209045	209344	299	299	0.000642
test.fasta	7	1	267442	268743	1301	1301	0.002793
test.fasta	8	1	273842	274841	999	999	0.002145
test.fasta	9	1	297245	298444	1199	1199	0.002574
test.fasta	10	1	298444	298844	400	400	0.000859
test.fasta	11	1	458049	464549	6500	6500	0.013954
test.fasta	12	1	464549	464848	299	299	0.000642
